Link,Title,Location,Salary,Summary
https://kr.indeed.com/jobs?q=e34c06d01e1f387e,[NAVER Cloud] 리눅스 배포판 개발,성남 분당구,,"[역할]리눅스 OS 배포판 제작 업무- 리눅스 배포판 관련 소스 분석- C , Python 등을 이용하여 소스 분석 및 수정- 빌드 시스템 및 버그질라 시스템... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/jobs?q=6bf56046b60b8111,[NAVER Cloud] 빅데이터 분석 플랫폼 개발,서울,,"리눅스 환경, 개발 및 운영에 대한 전문적인 지식을 보유 - Linux에서 프로젝트 진행 가능 - Java, Python,Go 중 한 가지 언어를 능숙하게 사용할 수 있는 능력 - Hadoop 및 Hadoop ecosystem..."
https://kr.indeed.com/jobs?q=844a7d20e4e15362,Associate Integration Engineer,서울,,shell scripting or programming languages... Perl/ Python/VBScript/Java/JavaScript/C++/C Fluent English Team spirit...
https://kr.indeed.com/jobs?q=774afc35e3ec6e5a,[AI/Lab] Recommendation System 리서치 엔지니어 (전문연구요원 가능),서울,,있으신 분 논문을 빠르고 정확하게 이해하고 구현할 수 있으신 분 최신 추천 기술 동향을 파악하고 계신 분 Python 사용 능력이 능숙하신 분 ※ 참고사항 : 해당 직군은 상세 경력기술서 제출이 필수입니다. 이런 분은...
https://kr.indeed.com/jobs?q=6a8ea2bf3ecb6973,Technical Solutions Engineer,서울,,"one or more of JavaScript (Node.JS), Python, or Java Working knowledge of GitHub... JavaScript (Node.JS), Python, Java 중 최소..."
https://kr.indeed.com/jobs?q=7fb9d769a987ab66,[(주)유니트론텍] Embedded S/W 개발 엔지니어,서울 강남구,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>시스템프로그래머>임베디드(Embedded...
https://kr.indeed.com/jobs?q=a692f83229bd339f,Datacenter Engineer,서울,,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
https://kr.indeed.com/jobs?q=d193999bb6d038d4,Analog Design Engineer,서울,,"Modeling of solutions using tools... Python, Matlab, Simulink, and Spectre AMS... tools... Python, Matlab, Simulink..."
https://kr.indeed.com/jobs?q=5b015b9613812d9d,Customer Data Analyst,서울,,"긴밀하게 협업하고 데이터 기반 확장 가능한 서비스 모듈 추가 및 성능 향상에 기여합니다. 필수 조건 Python (pandas, numpy), R, SQL... VBA 사용에 익숙함 물류 프로세스 분석 및 설계..."
https://kr.indeed.com/jobs?q=34d76713b5fc282d,CS LEAN D&A,대한민국,,"software using Python. (or other... platform expert VBA expert Extra point : Python expert, SAP, Spotfire, RPA skills..."
https://kr.indeed.com/jobs?q=ab58a5f77dd9c9c8,[NAVER Cloud] 빅데이터 분석 플랫폼 개발,성남 분당구,,빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷... 로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/jobs?q=caf5ce762f9ea674,"Sales Engineer, Korea",서울,,large-scale enterprise analytics deployment Experience in Python Familiarity with data storage and computing infrastructure...
https://kr.indeed.com/jobs?q=276bd693a85d2d6d,Advanced Support Engineer / Database & Cloud,서울,,MySQL / TimesTen - Docker / Container - Kubernetes - Python Detailed Description and Job Requirements... member...
https://kr.indeed.com/jobs?q=8af26b37623864c4,8퍼센트 개발자 (신입/경력),서울 종로구,,개발 금융 데이터 분석과 분석 플랫폼 운영 자격요건 컴퓨터 전공자 또는 웹 개발 경력 1년 이상 우대사항 Python 코드를 무리 없이 읽으실 수 있는 분 Linux/Mac 사용 가능한 분 새로운 기술에 대한 호기심을 가지신...
https://kr.indeed.com/jobs?q=3fcf92bd742690ad,"Cloud Operations Engineer, APAC",서울,,scale... pure Python infra-as-code... Our cloud operations engineers bring Python software-engineering skills and rigour...
https://kr.indeed.com/jobs?q=f54bac6c78fd3240,코딩에 빠진 수퍼 개발자 (펌웨어 개발),성남 수정구,,"학력무관직무기술: 펌웨어(Firmware), Embedded System S/W 개발(판교) c/c++, Python 3 명 근무조건 고용형태: 정규직근무부서: 개발팀급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단..."
https://kr.indeed.com/jobs?q=0a23119c314f495d,[NAVER Cloud] 리눅스 배포판 개발,서울,,"W 개발(C, Python등) - 소스 형상 관리 [지원자격/ 우대사항] - 오픈소스 기여 혹은 참여 하셨던분 - 개발 경험 및 소스코드 분석등 관련 분야의 경험을 보유하신분 - 웹 프로그래밍/ Python/C등 프로그래밍..."
https://kr.indeed.com/jobs?q=c5a2d1029018e4ba,Expat: Experimental Physicist Tuning and Monitoring,경기도 화성,,Experience in using office programs and Unix (Linux) Python and Jira experience is preferred. Deliberate and organized work...
https://kr.indeed.com/jobs?q=113f497911c489c6,데이터 엔지니어,서울 강남구,,"개발 & 관리 • 데이터 분석 업무 자격요건 • 경력 5년 이상 • Java, Kotlin, Scala, Python 사용 경험 • SQL 사용 경험 우대사항 • Spark 사용 경험 • Hadoop 사용 경험 • 데이터..."
https://kr.indeed.com/jobs?q=477c259d56ffdb73,DevOps Engineer,서울,,"world of software operations, using Python for next-generation infrastructure... want to work in Python, have a passion..."
https://kr.indeed.com/jobs?q=bbbfbb33164df0e3,"Junior Software Engineer, Server Platform",서울,,"프라 위에 안정적이고 효율적인 서비스 설계 및 구축 핵심 자격요건 Python, Java, Kotlin, Go, C++ 등 서버 사이드 프로그래밍... Understanding of Python, Java, and Event..."
https://kr.indeed.com/jobs?q=8a6e9cac2fec97be,스크린플랫폼개발팀 웹개발자,성남 분당구,,인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발
https://kr.indeed.com/jobs?q=14d562d10c215572,"PHP, Python 신입/경력 정규직",서울 금천구,,"주식회사 비즈부스터 PHP, Python 개발자 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무]*당사의 서비스(비즈탑) 솔루션 및 서비... 프로그래머>PHP |인터넷·IT·통신·모바일·게임>웹프로그래머> Python"
https://kr.indeed.com/jobs?q=64762c9268719c2e,공무(실증플랜트) 신입사원 모집,서울 역삼동,,"기획 • 전공무관 (상경계열 전공 우대) Trading • 전공무관 (상경/화공계열 전공 우대) • Python, VBA 등 코딩 능숙자 우대 재무(회계) • 전공무관 (재무관리/파생상품 관련 전공 우대) 구매..."
https://kr.indeed.com/jobs?q=aa2836bca0adca28,Business Analyst,서울,,"engineering related research. • Broad working knowledge of Python, Excel (inc. automation skills), Relational DBs, SQL..."
https://kr.indeed.com/jobs?q=ac64fda2e281b835,"Software Engineer, People with Disabilities (장애인 채용)",서울,,"languages, including... limited to: C++, Java, C and Python. Experience in a variety of projects utilizing natural..."
https://kr.indeed.com/jobs?q=444fc14aa330a211,네이버 파이낸셜 플랫폼 운영,성남 삼평동,,"Docker(kubernetes) 및 어플리케이션 배포 전략 지식 보유 - Shell script, python 및 web framework 등 기타 프로그래밍 언어 활용 가능 - 국가보훈대상자 및 장애인은 법령에 의거..."
https://kr.indeed.com/jobs?q=0ff2c43b1e2621a5,PharmCADD 2021년 상반기 R&D센터 연구원 공개,서울 강남구,,통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/jobs?q=0a57a69a13126ff5,셀프 인테리어 위한 AI 플랫폼 서비스 개발자,성남 분당구,,이상의 python 또는 node.js실무 개발경험이 있는 분 -Restful API에 대한 이해와 실무경험이 있는 분 인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머> Python...
https://kr.indeed.com/jobs?q=95fcfab87b9906bd,Job Posting Title Deep Learning Researcher,서울,,"network 등) Deep Learning 방법론에 대한 데모 프로그램 제작 및 제품화 코드 작성( Python / C++) 다양한 종류의 제조업 이미지 데이터에 대한 탐색, 분석 및 전처리 모듈 구현 최신 Deep..."
https://kr.indeed.com/jobs?q=8db37a8ce733ca9f,Field Service Engineer,서울,,"experience with system administrative scripting. (bash, Python, etc.). 3+ years experience with modern server deployment..."
https://kr.indeed.com/jobs?q=51d1df9a3cfbe418,(주)엘솔루 R&D본부 ASR팀 개발직,서울,,"제공 [필수사항] ㆍ프로그래밍에 재능 및 열정이 있는 자 ㆍJava, Python 중 하나 이상의 언어사용자 ㆍWeb 개발능력 ㆍ리눅스 사용 경험자... 머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
